qid,category,query,model,gold_rank,top1_id,top1_score,recall@10,ndcg@10,mrr,top_score,separability
q32,edge_acronym,What is NASA?,F2LLM-v2-80M,1.0,p12,0.7434,1.0,1.0,1.0,0.7433507442474365,0.42809441685676575
q32,edge_acronym,What is NASA?,Gecko-110m-en (f32),1.0,p12,0.7713,1.0,1.0,1.0,0.771335244178772,0.3523999750614166
q32,edge_acronym,What is NASA?,Gecko-110m-en (int8),1.0,p12,0.7847,1.0,1.0,1.0,0.7846946120262146,0.36777254939079285
q32,edge_acronym,What is NASA?,all-MiniLM-L6-v2,1.0,p12,0.775,1.0,1.0,1.0,0.775032639503479,0.41336363554000854
q32,edge_acronym,What is NASA?,granite-embedding-97m-multilingual-r2,1.0,p12,0.966,1.0,1.0,1.0,0.9660313129425049,0.14521366357803345
q32,edge_acronym,What is NASA?,multilingual-e5-small,1.0,p12,0.8964,1.0,1.0,1.0,0.8963693380355835,0.08634805679321289
q33,edge_acronym,The American government space agency,F2LLM-v2-80M,1.0,p12,0.7357,1.0,1.0,1.0,0.735707700252533,0.5704967528581619
q33,edge_acronym,The American government space agency,Gecko-110m-en (f32),1.0,p12,0.6864,1.0,1.0,1.0,0.6864123344421387,0.2306140959262848
q33,edge_acronym,The American government space agency,Gecko-110m-en (int8),1.0,p12,0.6849,1.0,1.0,1.0,0.6849043369293213,0.23280280828475952
q33,edge_acronym,The American government space agency,all-MiniLM-L6-v2,1.0,p12,0.749,1.0,1.0,1.0,0.7489949464797974,0.5457350313663483
q33,edge_acronym,The American government space agency,granite-embedding-97m-multilingual-r2,1.0,p12,0.9199,1.0,1.0,1.0,0.9198593497276306,0.13525843620300293
q33,edge_acronym,The American government space agency,multilingual-e5-small,1.0,p12,0.8958,1.0,1.0,1.0,0.8957782983779907,0.09836363792419434
q34,edge_acronym,What does DNA do in living things?,F2LLM-v2-80M,1.0,p04,0.6629,1.0,1.0,1.0,0.6629379987716675,0.34505727887153625
q34,edge_acronym,What does DNA do in living things?,Gecko-110m-en (f32),1.0,p04,0.7192,1.0,1.0,1.0,0.7192175388336182,0.27946168184280396
q34,edge_acronym,What does DNA do in living things?,Gecko-110m-en (int8),1.0,p04,0.7122,1.0,1.0,1.0,0.712162971496582,0.2820727229118347
q34,edge_acronym,What does DNA do in living things?,all-MiniLM-L6-v2,1.0,p04,0.6731,1.0,1.0,1.0,0.6731429100036621,0.38413259387016296
q34,edge_acronym,What does DNA do in living things?,granite-embedding-97m-multilingual-r2,1.0,p04,0.9125,1.0,1.0,1.0,0.9125288128852844,0.11253541707992554
q34,edge_acronym,What does DNA do in living things?,multilingual-e5-small,1.0,p04,0.8843,1.0,1.0,1.0,0.8842916488647461,0.06232786178588867
q35,edge_ambiguous,Tell me about oceans and coral reefs,F2LLM-v2-80M,1.0,p42,0.4401,1.0,1.0,1.0,0.44010451436042786,0.22078697383403778
q35,edge_ambiguous,Tell me about oceans and coral reefs,Gecko-110m-en (f32),1.0,p42,0.7467,1.0,0.9540734464808887,1.0,0.7467395067214966,0.28660207986831665
q35,edge_ambiguous,Tell me about oceans and coral reefs,Gecko-110m-en (int8),1.0,p42,0.7505,1.0,0.9540734464808887,1.0,0.7505144476890564,0.28800690174102783
q35,edge_ambiguous,Tell me about oceans and coral reefs,all-MiniLM-L6-v2,1.0,p42,0.572,1.0,1.0,1.0,0.5720244646072388,0.30147480964660645
q35,edge_ambiguous,Tell me about oceans and coral reefs,granite-embedding-97m-multilingual-r2,1.0,p42,0.8871,1.0,0.9540734464808887,1.0,0.8871453404426575,0.07575643062591553
q35,edge_ambiguous,Tell me about oceans and coral reefs,multilingual-e5-small,1.0,p42,0.8704,1.0,0.9638614719361266,1.0,0.8704176545143127,0.01678401231765747
q36,edge_ambiguous,Popular hot caffeinated beverages,F2LLM-v2-80M,1.0,p33,0.6173,1.0,0.9651954696014428,1.0,0.6173182725906372,0.4288972020149231
q36,edge_ambiguous,Popular hot caffeinated beverages,Gecko-110m-en (f32),1.0,p49,0.6636,1.0,0.8670870086853021,1.0,0.6635636687278748,0.21567702293395996
q36,edge_ambiguous,Popular hot caffeinated beverages,Gecko-110m-en (int8),1.0,p49,0.6612,1.0,0.8670870086853021,1.0,0.6611670851707458,0.21493440866470337
q36,edge_ambiguous,Popular hot caffeinated beverages,all-MiniLM-L6-v2,1.0,p34,0.5844,1.0,1.0,1.0,0.584374725818634,0.42820632457733154
q36,edge_ambiguous,Popular hot caffeinated beverages,granite-embedding-97m-multilingual-r2,1.0,p33,0.8811,1.0,1.0,1.0,0.8811202049255371,0.1056322455406189
q36,edge_ambiguous,Popular hot caffeinated beverages,multilingual-e5-small,1.0,p33,0.8678,1.0,1.0,1.0,0.8678005337715149,0.10172945261001587
q37,edge_ambiguous,Facts about famous mountains,F2LLM-v2-80M,1.0,p47,0.3545,1.0,1.0,1.0,0.35452765226364136,0.04084372520446777
q37,edge_ambiguous,Facts about famous mountains,Gecko-110m-en (f32),1.0,p19,0.557,1.0,1.0,1.0,0.5570079684257507,0.18620234727859497
q37,edge_ambiguous,Facts about famous mountains,Gecko-110m-en (int8),1.0,p19,0.5511,1.0,1.0,1.0,0.5511442422866821,0.1850796937942505
q37,edge_ambiguous,Facts about famous mountains,all-MiniLM-L6-v2,1.0,p47,0.4263,1.0,1.0,1.0,0.426321804523468,0.1324818730354309
q37,edge_ambiguous,Facts about famous mountains,granite-embedding-97m-multilingual-r2,1.0,p19,0.8547,1.0,1.0,1.0,0.8547435402870178,0.0627170205116272
q37,edge_ambiguous,Facts about famous mountains,multilingual-e5-small,1.0,p47,0.8467,1.0,1.0,1.0,0.8466788530349731,0.03663688898086548
q38,edge_ambiguous,Widely used programming languages,F2LLM-v2-80M,1.0,p23,0.4653,1.0,1.0,1.0,0.4652652144432068,0.14431270956993103
q38,edge_ambiguous,Widely used programming languages,Gecko-110m-en (f32),1.0,p23,0.492,1.0,1.0,1.0,0.4920251965522766,0.02791687846183777
q38,edge_ambiguous,Widely used programming languages,Gecko-110m-en (int8),1.0,p23,0.4791,1.0,1.0,1.0,0.47908705472946167,0.02022075653076172
q38,edge_ambiguous,Widely used programming languages,all-MiniLM-L6-v2,1.0,p23,0.5033,1.0,1.0,1.0,0.5032580494880676,0.2005205750465393
q38,edge_ambiguous,Widely used programming languages,granite-embedding-97m-multilingual-r2,1.0,p23,0.8636,1.0,1.0,1.0,0.8635613918304443,0.03639531135559082
q38,edge_ambiguous,Widely used programming languages,multilingual-e5-small,1.0,p25,0.8695,1.0,1.0,1.0,0.8695471286773682,0.06816232204437256
q39,semantic,Which insects help flowers reproduce?,F2LLM-v2-80M,1.0,p40,0.5078,1.0,1.0,1.0,0.5078411102294922,0.2662190794944763
q39,semantic,Which insects help flowers reproduce?,Gecko-110m-en (f32),1.0,p40,0.643,1.0,1.0,1.0,0.6429506540298462,0.23178008198738098
q39,semantic,Which insects help flowers reproduce?,Gecko-110m-en (int8),1.0,p40,0.6359,1.0,1.0,1.0,0.6359001994132996,0.2367243766784668
q39,semantic,Which insects help flowers reproduce?,all-MiniLM-L6-v2,1.0,p40,0.5083,1.0,1.0,1.0,0.5082898139953613,0.25680363178253174
q39,semantic,Which insects help flowers reproduce?,granite-embedding-97m-multilingual-r2,1.0,p40,0.8877,1.0,1.0,1.0,0.8877321481704712,0.13631469011306763
q39,semantic,Which insects help flowers reproduce?,multilingual-e5-small,1.0,p40,0.8689,1.0,1.0,1.0,0.8689289093017578,0.08747494220733643
q40,exact_paraphrase,Why was the Great Wall of China built?,F2LLM-v2-80M,1.0,p15,0.7983,1.0,1.0,1.0,0.7982625961303711,0.5571831464767456
q40,exact_paraphrase,Why was the Great Wall of China built?,Gecko-110m-en (f32),1.0,p15,0.8354,1.0,1.0,1.0,0.8354097604751587,0.42828142642974854
q40,exact_paraphrase,Why was the Great Wall of China built?,Gecko-110m-en (int8),1.0,p15,0.8401,1.0,1.0,1.0,0.8400893807411194,0.44015875458717346
q40,exact_paraphrase,Why was the Great Wall of China built?,all-MiniLM-L6-v2,1.0,p15,0.7437,1.0,1.0,1.0,0.743666410446167,0.5536305010318756
q40,exact_paraphrase,Why was the Great Wall of China built?,granite-embedding-97m-multilingual-r2,1.0,p15,0.97,1.0,1.0,1.0,0.9699686765670776,0.183391273021698
q40,exact_paraphrase,Why was the Great Wall of China built?,multilingual-e5-small,1.0,p15,0.9084,1.0,1.0,1.0,0.9084148406982422,0.114510178565979
